"","gene_name","count_BHI_1","count_BHI_2","count_BHI_3","count_ser_1","count_ser_2","count_ser_3"
"NBCAEPAK_00002","potA_1",0,0,0,0,0,0
"NBCAEPAK_00003","puuR_1",0,0,0,0,0,0
"NBCAEPAK_00004","acuI_1",0,0,0,0,0,0
"NBCAEPAK_00005","coaBC_1",0,0,0,0,0,0
"NBCAEPAK_00006","coaBC_2",0,0,0,0,0,0
"NBCAEPAK_00007","panT_1",0,0,0,0,0,0
"NBCAEPAK_00008","yhfK_1",0,0,0,0,0,0
"NBCAEPAK_00009","",0,0,0,0,0,0
"NBCAEPAK_00010","",0,0,0,0,0,0
"NBCAEPAK_00011","",0,0,4,2,0,11
"NBCAEPAK_00012","mshD_1",18,16,7,10,0,21
"NBCAEPAK_00013","",13,9,18,7,0,12
"NBCAEPAK_00014","",0,0,1,0,0,2
"NBCAEPAK_00015","murB",104,67,85,13,0,31
"NBCAEPAK_00016","yceM",41,47,30,36,0,75
"NBCAEPAK_00017","exoA",88,107,108,57,0,53
"NBCAEPAK_00018","polC_1",101,96,72,40,0,46
"NBCAEPAK_00019","mshD_2",47,45,59,55,0,69
"NBCAEPAK_00020","tsaE",31,22,16,17,0,17
"NBCAEPAK_00021","pta",190,255,259,31,0,50
"NBCAEPAK_00022","ung",21,22,35,4,0,7
"NBCAEPAK_00023","ywpJ_1",58,91,88,46,0,87
"NBCAEPAK_00024","",18,42,23,25,0,47
"NBCAEPAK_00025","",122,116,128,57,0,112
"NBCAEPAK_00026","",29,23,11,8,0,10
"NBCAEPAK_00027","",31,26,35,7,0,9
"NBCAEPAK_00028","",15,16,22,3,0,10
"NBCAEPAK_00029","pnuC",54,69,50,2,0,6
"NBCAEPAK_00030","",458,481,434,55,0,104
"NBCAEPAK_00031","pcp",120,154,142,31,0,52
"NBCAEPAK_00032","",184,157,226,44,0,87
"NBCAEPAK_00033","",122,151,165,24,0,41
"NBCAEPAK_00034","sugE",25,35,39,6,0,5
"NBCAEPAK_00035","ecsA_1",147,119,139,48,0,64
"NBCAEPAK_00036","",145,135,110,32,0,36
"NBCAEPAK_00037","arcD1_1",100,101,108,59,0,101
"NBCAEPAK_00038","",37,40,45,18,0,28
"NBCAEPAK_00039","",223,249,201,172,0,174
"NBCAEPAK_00040","murQ",79,61,57,67,0,88
"NBCAEPAK_00041","",45,34,39,41,0,60
"NBCAEPAK_00042","pspB_1",56,31,40,15,0,34
"NBCAEPAK_00043","yheS_1",11,19,14,26,0,38
"NBCAEPAK_00044","garK",23,27,17,24,0,37
"NBCAEPAK_00045","panE",296,264,285,160,0,223
"NBCAEPAK_00046","",10,23,23,13,0,20
"NBCAEPAK_00047","yvbW",19,30,19,20,0,48
"NBCAEPAK_00048","",75,95,59,81,0,108
"NBCAEPAK_00049","nhaC_1",544,537,478,618,0,645
"NBCAEPAK_00050","abgB",50,66,49,39,0,37
"NBCAEPAK_00051","metQ_1",8,4,6,11,0,11
"NBCAEPAK_00052","metP_1",19,7,10,12,0,16
"NBCAEPAK_00053","metN",9,10,13,6,0,5
"NBCAEPAK_00054","",3625,3414,3292,1657,0,1868
"NBCAEPAK_00055","",47,36,72,14,0,0
"NBCAEPAK_00056","mgtA",85,81,94,11,0,7
"NBCAEPAK_00057","ndk",11,20,15,37,0,63
"NBCAEPAK_00058","",127,130,131,135,0,186
"NBCAEPAK_00059","ltaS1_1",56,63,87,112,0,120
"NBCAEPAK_00060","",35,36,32,16,0,6
"NBCAEPAK_00061","gmuD_1",29,17,32,6,0,14
"NBCAEPAK_00062","rbsR",16,12,25,12,0,16
"NBCAEPAK_00063","",80,92,81,35,0,37
"NBCAEPAK_00064","",15,24,32,6,0,13
"NBCAEPAK_00065","",205,181,261,6,0,26
"NBCAEPAK_00066","DNPH1",134,131,166,12,0,12
"NBCAEPAK_00067","yvdD",94,62,89,4,0,10
"NBCAEPAK_00068","",1,0,2,0,0,3
"NBCAEPAK_00069","fruA_1",13,13,26,12,0,22
"NBCAEPAK_00070","mngR",17,13,14,0,0,14
"NBCAEPAK_00071","bglH_1",34,36,27,11,0,12
"NBCAEPAK_00072","bglF_1",8,4,15,8,0,13
"NBCAEPAK_00073","",0,0,0,0,0,0
"NBCAEPAK_00074","licT_1",19,12,20,24,0,70
"NBCAEPAK_00075","",21,31,32,24,0,42
"NBCAEPAK_00076","",14,11,0,6,0,8
"NBCAEPAK_00077","ytcD",0,0,0,0,0,0
"NBCAEPAK_00078","",396,332,424,181,0,217
"NBCAEPAK_00079","",32,41,21,13,0,14
"NBCAEPAK_00080","",134,141,104,77,0,105
"NBCAEPAK_00081","",23,49,26,27,0,56
"NBCAEPAK_00082","",7,20,13,17,0,41
"NBCAEPAK_00083","",24,30,20,19,0,27
"NBCAEPAK_00084","",18,28,17,15,0,14
"NBCAEPAK_00085","",3,2,5,3,0,5
"NBCAEPAK_00086","prsA_1",129,145,177,16,0,44
"NBCAEPAK_00087","",3,6,6,7,0,8
"NBCAEPAK_00088","yknY_1",3,4,2,3,0,2
"NBCAEPAK_00089","",6,8,11,21,0,6
"NBCAEPAK_00090","",76,74,66,31,0,27
"NBCAEPAK_00091","",1,3,1,0,0,2
"NBCAEPAK_00092","hsdR",147,190,219,107,0,157
"NBCAEPAK_00093","",43,31,34,12,0,25
"NBCAEPAK_00094","",30,18,33,9,0,18
"NBCAEPAK_00095","",6,2,6,1,0,1
"NBCAEPAK_00096","",0,0,0,1,0,1
"NBCAEPAK_00097","",3,4,0,1,0,5
"NBCAEPAK_00098","",1,0,2,0,0,0
"NBCAEPAK_00099","",8,17,22,2,0,15
"NBCAEPAK_00100","",82,98,99,84,0,108
"NBCAEPAK_00101","",3,6,0,2,0,2
"NBCAEPAK_00102","",19,20,20,4,0,15
"NBCAEPAK_00103","Int-Tn_1",97,104,112,46,0,43
"NBCAEPAK_00104","sufB_1",338,321,294,525,0,556
"NBCAEPAK_00105","iscU",67,91,91,77,0,117
"NBCAEPAK_00106","sufS",122,142,106,115,0,152
"NBCAEPAK_00107","sufB_2",173,227,242,133,0,197
"NBCAEPAK_00108","",49,52,64,14,0,61
"NBCAEPAK_00109","metQ_2",66,59,75,36,0,39
"NBCAEPAK_00110","metP_2",80,72,78,10,0,16
"NBCAEPAK_00111","metN2",49,54,52,10,0,7
"NBCAEPAK_00112","gcvH",51,80,50,7,0,28
"NBCAEPAK_00113","mgsR",44,28,36,15,0,17
"NBCAEPAK_00114","rodA",136,148,208,38,0,88
"NBCAEPAK_00115","cysL",33,27,41,14,0,18
"NBCAEPAK_00116","",236,299,249,75,0,54
"NBCAEPAK_00117","",138,160,151,57,0,55
"NBCAEPAK_00118","ogt",35,36,77,8,0,11
"NBCAEPAK_00119","yfdH",213,299,218,84,0,118
"NBCAEPAK_00120","topB_1",389,397,469,116,0,183
"NBCAEPAK_00121","",14,21,14,7,0,7
"NBCAEPAK_00122","",24,17,20,6,0,21
"NBCAEPAK_00123","yjhB_1",33,10,14,132,0,143
"NBCAEPAK_00124","vioD",5,10,6,27,0,56
"NBCAEPAK_00125","arcD1_2",1,7,10,88,0,141
"NBCAEPAK_00126","mnmA",110,168,187,54,0,194
"NBCAEPAK_00127","cpdA_1",80,69,70,76,0,64
"NBCAEPAK_00128","",198,193,169,513,0,470
"NBCAEPAK_00129","",40,48,58,17,0,18
"NBCAEPAK_00130","iscS_1",80,86,125,8,0,42
"NBCAEPAK_00131","prs2",88,137,141,66,0,136
"NBCAEPAK_00132","",28,39,24,21,0,44
"NBCAEPAK_00133","pepO",358,444,436,43,0,125
"NBCAEPAK_00134","pelX",40,45,46,16,0,23
"NBCAEPAK_00135","yecD_1",55,55,54,16,0,41
"NBCAEPAK_00136","mtnN",49,39,41,14,0,10
"NBCAEPAK_00137","",7,4,2,1,0,2
"NBCAEPAK_00138","act",8,23,14,3,0,1
"NBCAEPAK_00139","",163,254,234,133,0,237
"NBCAEPAK_00140","",189,187,197,80,0,149
"NBCAEPAK_00141","yhdG",231,187,211,219,0,232
"NBCAEPAK_00142","glcU_1",134,114,137,22,0,25
"NBCAEPAK_00143","graS",63,69,74,40,0,53
"NBCAEPAK_00144","graR",38,68,49,11,0,30
"NBCAEPAK_00145","",12,16,7,0,0,4
"NBCAEPAK_00146","",1,3,2,0,0,2
"NBCAEPAK_00147","",0,2,0,0,0,0
"NBCAEPAK_00148","",28,17,34,6,0,18
"NBCAEPAK_00149","",0,0,1,1,0,4
"NBCAEPAK_00150","ybjG",25,20,17,13,0,5
"NBCAEPAK_00151","",29,37,30,30,0,22
"NBCAEPAK_00152","araQ_1",13,7,13,11,0,11
"NBCAEPAK_00153","lacF_1",16,17,21,10,0,11
"NBCAEPAK_00154","araN_1",10,19,11,8,0,25
"NBCAEPAK_00155","ydbD",9,11,12,12,0,24
"NBCAEPAK_00156","",2,6,3,5,0,8
"NBCAEPAK_00157","",10,9,7,10,0,20
"NBCAEPAK_00158","mazF",146,123,119,58,0,91
"NBCAEPAK_00159","",2,4,2,3,0,0
"NBCAEPAK_00160","",19,10,12,28,0,11
"NBCAEPAK_00161","",0,2,0,1,0,2
"NBCAEPAK_00162","",4,2,4,0,0,7
"NBCAEPAK_00163","acuR",28,21,27,5,0,19
"NBCAEPAK_00164","yecD_2",1,8,3,41,0,28
"NBCAEPAK_00165","rclA",10,8,9,46,0,84
"NBCAEPAK_00166","ohrB_1",42,36,48,138,0,186
"NBCAEPAK_00167","",0,0,0,0,0,1
"NBCAEPAK_00168","algC",46,55,69,38,0,86
"NBCAEPAK_00169","argR_1",25,37,42,47,0,36
"NBCAEPAK_00170","",9,14,21,7,0,12
"NBCAEPAK_00171","ribZ_1",67,63,68,9,0,31
"NBCAEPAK_00172","thiO",56,39,66,8,0,21
"NBCAEPAK_00173","",83,79,67,35,0,33
"NBCAEPAK_00174","",64,69,116,15,0,46
"NBCAEPAK_00175","queG",91,106,94,61,0,87
"NBCAEPAK_00176","",40,32,48,35,0,53
"NBCAEPAK_00177","ssaB_1",88,98,99,55,0,63
"NBCAEPAK_00178","mntB_1",16,16,12,1,0,8
"NBCAEPAK_00179","znuC_1",16,14,32,3,0,9
"NBCAEPAK_00180","yifK",37,36,60,25,0,66
"NBCAEPAK_00181","",47,44,74,61,0,66
"NBCAEPAK_00182","",8,6,20,14,0,10
"NBCAEPAK_00183","ywrO",24,26,36,13,0,21
"NBCAEPAK_00184","araC_1",9,4,5,6,0,17
"NBCAEPAK_00185","lacS",46,33,31,16,0,9
"NBCAEPAK_00186","galM_1",18,12,19,14,0,11
"NBCAEPAK_00187","galK_1",29,33,24,26,0,44
"NBCAEPAK_00188","dinB_1",219,202,177,196,0,265
"NBCAEPAK_00189","",42,35,69,97,0,81
"NBCAEPAK_00190","",603,676,603,205,0,235
"NBCAEPAK_00191","",0,2,0,0,0,0
"NBCAEPAK_00192","",0,0,0,0,0,0
"NBCAEPAK_00193","npr_1",101,97,107,72,0,119
"NBCAEPAK_00194","patA_1",22,10,31,37,0,52
"NBCAEPAK_00195","yxeP",25,8,19,30,0,86
"NBCAEPAK_00196","yclM",21,13,24,57,0,114
"NBCAEPAK_00197","asd",7,14,22,39,0,64
"NBCAEPAK_00198","dapH",26,11,12,31,0,67
