##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	E745-1.L500_SZAXPI015146-56_2_clean.fq.gz
File type	Conventional base calls
Encoding	Illumina 1.5
Total Sequences	1666667
Sequences flagged as poor quality	0
Sequence length	90
%GC	37
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.859354628129076	33.0	31.0	34.0	30.0	34.0
2	32.01682459663508	34.0	31.0	34.0	30.0	34.0
3	32.029900994019805	34.0	31.0	34.0	30.0	34.0
4	35.43096311380738	37.0	35.0	37.0	33.0	37.0
5	35.403770519245896	37.0	35.0	37.0	33.0	37.0
6	35.4143725171255	37.0	35.0	37.0	33.0	37.0
7	35.39758632048274	37.0	35.0	37.0	33.0	37.0
8	35.375214124957175	37.0	35.0	37.0	32.0	37.0
9	36.9551860089628	39.0	37.0	39.0	33.0	39.0
10-11	36.89979462004108	39.0	37.0	39.0	32.5	39.0
12-13	36.82485553502889	39.0	37.0	39.0	32.0	39.0
14-15	38.10499787900042	40.0	38.0	41.0	33.0	41.0
16-17	38.00520529895894	40.0	38.0	41.0	32.0	41.0
18-19	37.9156295168741	40.0	38.0	41.0	32.0	41.0
20-21	37.86763942647212	40.0	38.0	41.0	32.0	41.0
22-23	37.72574695485061	40.0	38.0	41.0	32.0	41.0
24-25	37.69159406168119	40.0	37.5	41.0	32.0	41.0
26-27	37.75015944996811	40.0	38.0	41.0	32.0	41.0
28-29	37.69305146138971	40.0	38.0	41.0	32.0	41.0
30-31	37.4627655074469	40.0	37.0	41.0	30.5	41.0
32-33	37.33065753386849	40.0	37.0	41.0	30.5	41.0
34-35	37.25324674935065	40.0	37.0	41.0	30.0	41.0
36-37	37.150388169922365	40.0	37.0	41.0	30.0	41.0
38-39	37.03905129218974	40.0	37.0	41.0	30.0	41.0
40-41	36.86932692613462	39.0	36.0	41.0	30.0	41.0
42-43	36.689900862019826	39.0	36.0	40.5	30.0	41.0
44-45	36.595676580864684	39.0	36.0	40.0	30.0	41.0
46-47	36.63189887362023	39.0	36.0	40.0	30.0	41.0
48-49	36.68248636350273	39.0	36.0	40.0	30.0	41.0
50-51	35.584113383177325	38.0	34.5	39.5	27.5	40.5
52-53	35.65636986872603	38.0	34.5	39.5	28.0	40.5
54-55	36.19309496138101	39.0	35.0	40.0	28.0	41.0
56-57	36.08316898336621	39.0	35.0	40.0	28.0	41.0
58-59	35.74686545062691	38.5	34.5	40.0	27.5	41.0
60-61	35.358541928291615	38.0	34.0	40.0	26.5	41.0
62-63	34.92549201490159	38.0	34.0	40.0	26.0	41.0
64-65	34.40620741875851	37.0	33.5	40.0	26.0	41.0
66-67	33.874419725116056	36.5	33.0	39.0	24.0	41.0
68-69	33.34805693038861	36.0	32.5	39.0	22.5	40.0
70-71	32.773559145288175	35.5	32.0	38.5	22.0	40.0
72-73	32.17866616426677	35.0	31.0	37.5	20.5	39.5
74-75	31.585454682909063	35.0	31.0	37.0	19.0	39.0
76-77	30.97741480451704	35.0	30.5	36.0	16.0	39.0
78-79	30.365500726899853	34.0	30.0	36.0	10.0	37.5
80-81	29.799098740180252	34.0	29.5	35.0	6.5	37.0
82-83	29.23239045352191	34.0	29.0	35.0	2.0	36.5
84-85	28.600711479857704	34.0	29.0	35.0	2.0	36.0
86-87	27.893010721397857	34.0	27.5	35.0	2.0	36.0
88-89	27.143734171253165	34.0	26.5	35.0	2.0	35.0
90	26.413394517321098	33.0	25.0	35.0	2.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.5573855815419115
1101	2	0.554150718926941
1101	3	0.5489681024906616
1101	4	0.4250887178419589
1101	5	0.46778014920268873
1101	6	0.4362679740362907
1101	7	0.4170682491083113
1101	8	0.4697973518877845
1101	9	0.5066872024192577
1101	10-11	0.5462470025344928
1101	12-13	0.5753756356198991
1101	14-15	0.7805587067765813
1101	16-17	0.7162662462213021
1101	18-19	0.6395348755940304
1101	20-21	0.5690377411789598
1101	22-23	0.6944691827750518
1101	24-25	0.5802628246389006
1101	26-27	0.4822327022878312
1101	28-29	0.4579837264145681
1101	30-31	0.7871516381391572
1101	32-33	0.7245081879992199
1101	34-35	0.7744762471942721
1101	36-37	0.7245432948681625
1101	38-39	0.7576154126989252
1101	40-41	0.5883680106047606
1101	42-43	0.5834196918327663
1101	44-45	0.4862730242759241
1101	46-47	0.6293287243963377
1101	48-49	0.5935729334584394
1101	50-51	0.5769713154036396
1101	52-53	0.5995551027437216
1101	54-55	0.6555377791899986
1101	56-57	0.5052536363055182
1101	58-59	0.6723036746848479
1101	60-61	0.7239982872441573
1101	62-63	0.5883111333194435
1101	64-65	0.6786671303232765
1101	66-67	0.7560379095583798
1101	68-69	0.6859912908976185
1101	70-71	0.6294930245139128
1101	72-73	0.8272008720854345
1101	74-75	0.8200743480965791
1101	76-77	0.7706050639727451
1101	78-79	1.0141407688785833
1101	80-81	1.0869857613822447
1101	82-83	1.0882844731122248
1101	84-85	0.9847904939190428
1101	86-87	1.0118265520908807
1101	88-89	1.1074916110790518
1101	90	1.1516009028543088
1102	1	0.5253548716976901
1102	2	0.4181760842968174
1102	3	0.47955289289141234
1102	4	0.5054571925682083
1102	5	0.48156360667876186
1102	6	0.5024419802443489
1102	7	0.3426108604605673
1102	8	0.4970342295797039
1102	9	0.617354817431206
1102	10-11	0.4953812894134444
1102	12-13	0.544914598954847
1102	14-15	0.7054819864215389
1102	16-17	0.7296963263331406
1102	18-19	0.7532076313662444
1102	20-21	0.7179200163559187
1102	22-23	0.8950944211665686
1102	24-25	0.8326769386864328
1102	26-27	0.7146125104772167
1102	28-29	0.6551844699401954
1102	30-31	0.733999925620445
1102	32-33	0.48739735096371106
1102	34-35	0.6492366784293111
1102	36-37	0.7271392672261072
1102	38-39	0.7614302912781739
1102	40-41	0.669574886435619
1102	42-43	0.7566905842457388
1102	44-45	0.5871508476351508
1102	46-47	0.7498122863091439
1102	48-49	0.8106257150562897
1102	50-51	0.9014907907754264
1102	52-53	0.7968141965293825
1102	54-55	0.8286193403645186
1102	56-57	0.716606518818601
1102	58-59	0.7390069791726788
1102	60-61	0.7805362086686785
1102	62-63	0.5947236733431183
1102	64-65	0.6371807096572084
1102	66-67	0.7503063784905493
1102	68-69	0.9062688456818577
1102	70-71	0.8951271577371784
1102	72-73	0.9178688331041869
1102	74-75	0.9180282092151835
1102	76-77	0.946488666055096
1102	78-79	1.0661210231505898
1102	80-81	1.1025590874924305
1102	82-83	0.9890811998469005
1102	84-85	0.872736906678135
1102	86-87	1.0544788518998374
1102	88-89	1.1646082237666064
1102	90	1.085944473689576
1103	1	0.2725534566513268
1103	2	0.3333127230561601
1103	3	0.24051616199035664
1103	4	0.13430573409908675
1103	5	0.25667733940520066
1103	6	0.33911793330322837
1103	7	0.24903014678658053
1103	8	0.3202479231263524
1103	9	0.1245606485392372
1103	10-11	0.2920013255118121
1103	12-13	0.1967725394220352
1103	14-15	0.30610723806591267
1103	16-17	0.19902595473902807
1103	18-19	0.3461464826100453
1103	20-21	0.47431095601483264
1103	22-23	0.4313274500290163
1103	24-25	0.6107926496611711
